应用来源,应用ID,应用名称,创建时间,申请人,chatling模型,大模型平台模型,scene_summary
agent,316,TEG-AI Lab-LBG-IM/电话AI客服,2025-11-26 11:14:01,zhouwei17,,,LBG主站到家业务下，IM AI客服在58app智能客服中如果是本地生活服务用户转人工则由AI客服接待根据用户需求建立不同分类的工单，后续由二线客服跟进工单。电话AI客服是用户拨打10105858热线，通过三种不同按键进线，由AI客服回答用户问题并根据用户需求建立不同分类的工单，后续由二线客服跟进工单。
chatling,236,TEG-信安-LBG-微聊房产电诈ai治理,2025-07-23 09:53:06,sunyuanhao,chatling-plus,,房产电诈ai治理项目计划进行大模型和融合模型开发，离线预测微聊信息是否有欺诈问题，以降低亿次连接投诉量。需要对杀猪盘微聊53场景样本库和特征库进行建设，涉及样本更新、特征回溯和新特征增加等需求
agent,219,LBG-产品培训部-AI知识库,2025-07-10 16:56:15,jiachen02,,,提供黄页产品知识、行业知识等相关内容，帮助用户高效解决问题
chatling,185,TEG-AI Lab-语音分析-LBG-销售录音意向标签识别和小记,2025-06-19 10:39:01,longbiao02,Qwen3-Base-1.7B,,黄页销售场景，通过ai的对通话关键内容提取，识别意向标签、总结对话生成小记、客户的商机意向度，用于标签展示、小记展示、话术推荐、信息总结等，为销售&管理者提效。
agent,188,TEG-交易服务研发部-LBG-AI合同审核,2025-05-26 15:31:25,liuzhipeng05,,,用AI对合同订单审核进行分析和校验，并给出合理化的审核意见
agent,187,LBG-风控技术部-二手车审核员,2025-05-26 15:31:25,jinkai,,,时效通车源信息审核，结合车源图片多模态模型识别结果与车源信息进行交叉对比，出具车源审核报告
agent,184,LBG-前端技术部-车辆简介生成器灵犀助手,2025-05-26 15:31:25,zhangjiajia04,,,根据车商在发布车辆信息页填写的车辆基本信息，调用deepseek大模型，输出车辆描述信息，减少车商发布效率，提升帖子信息丰富度
chatling,173,TEG-搜索推荐部-LBG-首页默认词-黄页,2025-04-10 10:47:33,chenmin03,Qwen2.5-Chat-3B,,58APP首页默认词接入黄页大模型进行推荐，提升用户体验
chatling,161,TEG-搜索推荐部-LBG-首页搜索提示-黄页,2025-03-10 11:07:55,chenmin03,Qwen2.5-Chat-3B,,58APP首页搜索提示接入黄页大模型进行用户提示词推荐，提升用户体验
agent,138,LBG-家服技术部-城市识别,2024-11-25 19:15:36,lirunmin,,,用于对外投线索的城市进行识别，用户填写城市，用智能体的搜索功能识别填写城市属于省市区县乡哪个级别，帮助用户进行线索录入
大模型平台,130,TEG-AI Lab-LBG-商机AI外呼微信手机号提取,2024-11-16 10:53:33,xiuyuanyuan,,Qwen1.5-Base-14B,黄页商机外呼完成后，通过大模型提取用户与机器人对话过程中提供的微信、电话号码信息，作为转出小记内容提供给业务方，方便后续跟进商机时添加微信号。
大模型平台,114,TEG-信安-LBG-免审-267-主站黄页场景,2024-10-30 11:43:04,zhaozhongxin,,Qwen2-Base-7B,"黄页招聘内容信息审核,规避掉提供的敏感词"
大模型平台,77,TEG-AI Lab-LBG-商机AI外呼转出商机识别,2024-10-23 13:08:12,xiuyuanyuan,,Qwen2-Chat-7B,识别AI外呼及其销售跟进录音识别(呼叫后)有意向的通话
agent,116,LBG-数据智能技术部-家政职业培训老师,2024-10-23 09:57:34,baojiandong,,,用在家服业务的职陪的场景下，AI机器人问答交互模式，更好的契合阿姨使用习惯，辅助阿姨工作，降低人工培训成本，提高培训质量从而提高服务质量，支持阿姨来平台问一些育儿的知识类型。
agent,115,LBG-精选技术部-到家精选打工仔,2024-10-23 09:57:34,zhangyanbao01,,,1、日常到家精选业务知识库问题问答  2、根据订单号，获取链路上的数据，用于辅助技术分析问题
agent,95,LBG-风控技术部-体检报告审核,2024-10-12 12:40:52,jinkai,,,用于LBG阿姨体检报告审核，使用了两个智能体，7908a15e36714b578934de124e49f4b2： 评估健康状态，评估家政员岗位风险，并给出适合的岗位；072d60278a244143963884437c2cd9c7： 标记体检项目，标记体检项目用于标记体检报告中检查项目是否符合审核标准
大模型平台,90,LBG-数据智能技术部-黄页通话服务项提取,2024-09-20 15:52:15,liujing50,,Qwen2-Base-1.5B,对主站用户和商家的通话进行服务项的提取，以便分析用户的需求
chatling,87,TEG-AI Lab-LBG-优质商机识别,2024-09-19 09:22:08,xubao,glm-4-9b-chat,,为了洞察分析LBG商机特性，通过挖掘分析被跟电话跟进的商机的通话录音，为每一通录音打上类似客户咨询产品、客户咨询价格、客户表达业务饱合等共计26类标签用于业务运营后期对商机做精细化管理如分配、申领运营操作提供数据支撑
大模型平台,86,TEG-AI Lab-LBG-商机AI外呼大模型智能外呼,2024-09-12 19:11:51,xutianxia02,,Qwen2-Chat-7B,针对招聘外呼场景，实验角色扮演大模型替代传统外呼节点配置的方式，以期提升外呼对话流畅度和转出率。
agent,81,TEG-AI Lab-LBG-58到家工作端智能客服Agent,2024-09-12 18:24:01,chenbing09,,,作为智能客服在58阿姨APP回答家服阿姨的问题，TEG-AILab研发支持LBGchenbing09部门业务
chatling,68,TEG-AI Lab-LBG-LBG销售通话摘要提取,2024-08-21 09:09:52,pengliuhan,glm-4-9b-chat,,根据销售与客户沟通录音文本中提取出关键信息在CRM中销售跟进列表中用于展示，为销售了解商机信息提升效率
chatling,67,TEG-AI Lab-黄页商机行业识别,2024-08-21 09:09:52,xubao,qwen2-57b-a14B-instruct、qwen2-72b-instruct,,黄页直电销场景下，部分对话没有商机行业信息，需要根据对话内容识别用户行业类别
chatling,52,TEG-AI Lab-智能陪练,2024-07-03 16:57:22,"aicoach,lizhong",qwen-14b-chat,,提供给销售、客服新人同学，帮助销售、客服同学进行训练提效和考试测试。应用在AI lab的智能陪练产品中，进行意图识别。
